,J,C_J,Q,C_Q
601,0.04,1716.075436610773,0.04,1058.0659713983714
602,0.09,2361.3981227321856,0.12946966852532038,1066.4250993138176
603,0.02,427.0134919611497,0.14775256838351872,1074.0287590600437
604,0.03,380.95473071446065,0.17579282926388734,1068.0325248944837
605,0.04,2366.407926692137,0.2134607801932603,1063.6528719043445
606,0.05,2113.774640892696,0.260628349865664,1077.1028993455739
607,0.03,1358.3353817752195,0.28716904685271527,1087.2159195783915
608,0.0,2787.7413813014277,0.2833567995166405,1090.6434636966778
609,0.01,-270.09191025872155,0.28959516084741915,1109.038136364019
610,0.03,922.4028780937085,0.31575038195968164,1096.128309763585
611,0.05,196.55527129409086,0.36155723070475415,1094.8055821975413
612,0.04,1282.454226984576,0.3967537586093833,1087.5749805350006
613,0.01,-390.49137039616744,0.4014810500256364,1090.0731798206543
614,0.02,1177.9264359819963,0.41614508846778214,1075.9563806853057
615,0.02,1424.4643945832486,0.4306132702263379,1077.8310376912614
616,0.02,1267.2133253328684,0.4448880865524999,1082.1250534417659
617,0.0,2612.1266487085877,0.4389719969688393,1084.7910840250515
618,0.0,158.79915164714032,0.43313457949297773,1101.5840699490982
619,0.0,-238.76005630503505,0.42737478793889955,1092.8215611120904
620,0.0,1777.8465485542533,0.42169159003289536,1079.9178105255796
621,0.0,390.4427498991895,0.4160839672285527,1088.020378739685
622,0.0,2250.1009992949867,0.4105509145242087,1081.6708240511352
623,0.0,1647.3109606473977,0.4050914402828294,1094.692709460457
624,0.0,1394.146772368565,0.39970456605428434,1101.4355319672004
625,0.0,766.5017093788834,0.39438932639998475,1105.5412275127073
626,0.0,-970.6764177682865,0.389144768719854,1103.1089536520703
627,0.0,-208.67121237493143,0.38396995308159876,1082.5810743003167
628,0.0,650.4971526095842,0.3788639520522499,1069.990749171412
629,0.0,857.6469905691157,0.3738258505319455,1066.3500945110945
630,0.0,1095.090935823651,0.36885474558992204,1064.8672506628554
631,0.0,-284.38690750791034,0.3639497463026879,1065.8577812443536
632,0.0,170.89388230444388,0.35910997359434876,1052.4787509578118
633,0.0,1910.4658055913083,0.35433456007905617,1043.842228898483
634,0.0,-1373.5591418674708,0.3496226499055509,1053.3262477067265
635,0.0,1472.805152893759,0.3449733986037746,1028.6016733122733
636,0.0,673.944825434673,0.34038597293352035,1033.5267269882506
637,0.0,2788.378411399317,0.33585955073509627,1030.1303189198616
638,0.0,1341.5449864350146,0.33139332078197475,1048.759260705272
639,0.0,579.3960750947533,0.326986482635402,1052.3170209806367
640,0.0,973.0515864735462,0.3226382465009395,1047.9357300962074
641,0.0,973.1024583514643,0.31834783308691506,1047.6550174553076
642,0.0,1400.5519408493317,0.314114473464755,1047.3748347298024
643,0.0,1093.2550805126602,0.3099374089311736,1051.547250780316
